stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.86,81.73,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,9.63,0,0,0,1.07,0,0,0,0,0,0,0,73.82,2.14,1.07,0,0,0,1.07,3.21,0,0,0,38.51,0,0,1.07,1.07,1.07,0,0,0
21Day,1.34,0,1.34,54.88,1.34,0,0,5.35,0,0,0,0,0,1.34,0,2.68,8.03,1.34,0,0,0,4.02,1.34,0,1.34,0,13.39,0,1.34,0,0,0,0,0,0
3Month,0,0.32,0.64,48.63,0,0.64,0,98.86,3.2,0,8,2.88,1.6,5.12,1.92,1.92,35.19,4.8,1.28,0,0.64,0.32,0,0,0,0,30.08,1.28,72.95,0,0,0,0.32,54.07,3.52
22Month,0,0,1.09,11.48,0,1.64,0.55,30.07,20.23,0.55,18.59,6.56,1.09,3.28,1.09,0,88.01,2.19,0.55,0.55,0,0,0,0.55,0,3.83,33.89,0,15.31,0,0,0,1.09,0.55,0
