stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell
72hpf,0,0,0,0,1.07,1.07
21Day,1.34,0,0,0,0,0
22Month,0,0.55,1.09,0.55,0,0.55
