stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,2.14,0,1.07,16.05,22.47,0,1.07,0,1.07,1.07,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,1.34,6.69,0,0,0,1.34,1.34,0
3Month,0,0.32,0,0.32,0,0.32,0.64,0.32,0,0.32,0.32,0,0,0,0,12.16,0,0,3.52
22Month,0,0,0.55,0,0,0,1.64,0.55,0,0,1.09,0,0,1.09,0,3.28,0.55,0,0
