stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,16.35,0,0,0,0,0,0,0,0,4.09,4.09,0,53.12,4.09,0,0,0
72hpf,0,1.07,3.21,2.14,0,0,0,0,0,1.07,0,0,3.21,14.98,6.42,2.14,0,2.14,0
21Day,1.34,0,1.34,0,4.02,0,0,1.34,0,1.34,0,0,6.69,8.03,1.34,4.02,2.68,0,1.34
3Month,0,0,0.96,0,0,0.32,0.96,0,0.32,0,0.32,0,0,0,0,0,0,0,0.64
22Month,0,0,1.09,0,0,0,3.83,0,1.09,0,0,0,0.55,0,0,0,0,0,0
