stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,212.49,0,0,0,8.17,0,0,0,0,4.09,0,0,0
72hpf,7.49,1.07,0,2.14,2.14,1.07,0,0,0,0,0,0,0,0,5.35,8.56,1.07,14.98,1.07,0,0,95.21,80.23,0,0,0,20.33,0,0,19.26,1.07,2.14,0,0,0
21Day,4.02,1.34,0,13.39,1.34,1.34,0,0,1.34,0,1.34,0,0,0,1.34,5.35,1.34,20.08,0,0,0,21.42,13.39,0,0,0,4.02,1.34,0,1.34,1.34,1.34,0,0,0
3Month,0.64,1.6,0,10.56,0,0,0,2.24,0.96,0,16,3.84,0,6.4,1.92,3.84,2.88,2.24,0,0.32,0.64,1.6,0.64,0.96,0.32,0,0,0.32,9.6,0,0,0.32,0.96,15.68,0.96
22Month,0,2.19,0.55,2.73,0.55,0,0.55,1.09,0,3.83,47.01,1.64,0.55,12.03,0,0,3.83,2.19,0,0.55,0,0,0,1.64,0,0.55,0.55,0,0.55,0,0,0,0,0,0.55
