stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,4.09,0,0,4.09,0,0,0,20.43,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,1.07,1.07,1.07,1.07,2.14,0,0,0,0,0
21Day,0,1.34,0,0,0,1.34,0,1.34,5.35,0,4.02,1.34,0,1.34,0,1.34,0
3Month,0,0,0.32,0,0,0,0.32,0.32,0,0,0.64,0,0.32,0,0.32,0,2.24
