stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,T_cell
21Day,0,0,0,1.34,0,0,0,0,0,0
3Month,0.32,0.32,0,8.64,0,1.28,0,0.32,0.32,0.32
22Month,0.55,0.55,1.09,36.63,1.09,0.55,0.55,0,3.83,0.55
