stage,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,2.14,0,87.72,7.49,0,0,4.28,0,2.14,0,0
21Day,0,0,0,0,0,0,0,1.34,0,2.68,0,69.6,0,1.34,2.68,1.34,0,0,0,1.34
3Month,0,0,0.32,0,1.92,0.32,0.64,0.96,0,0,0,0,0,0,0,0,0.64,0,0,0
22Month,1.09,1.64,2.73,1.09,15.85,0.55,0.55,0.55,1.09,0.55,1.09,0.55,0,0.55,1.09,0,2.73,0,0.55,0.55
