stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,24.52,12.26,36.78,8.17,0,0,0,0,0,0,0,0,0,8.17,12.26,4.09,93.99,0,0,0,0,24.52,584.36,0,0,16.35,0,0,0,0,0,0,0
72hpf,1.07,2.14,5.35,1.07,0,0,0,0,0,0,0,0,0,3.21,7.49,1.07,9.63,0,4.28,0,0,16.05,14.98,0,0,7.49,0,0,3.21,0,0,0,0
21Day,4.02,0,8.03,0,0,0,0,0,0,2.68,0,2.68,0,0,1.34,0,17.4,0,0,1.34,0,2.68,12.05,1.34,1.34,5.35,0,0,0,0,0,0,0
3Month,0,1.28,20.8,0.64,0.32,0,1.28,0.96,0,8.96,1.6,0.64,0.64,1.6,8.96,5.12,4.8,1.28,0.32,1.6,0.32,0.64,0.32,0.96,0.64,0.32,0.64,12.48,0.32,0.64,1.28,3.2,2.88
22Month,0,1.09,3.83,0,0.55,0.55,0,1.09,1.09,18.59,0.55,0.55,4.37,0.55,2.73,1.09,12.57,0.55,1.09,1.64,0,0.55,0,0.55,2.19,1.09,0,0,0.55,0,0,0,0
