stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,204.32,200.23,1356.69,12.26,0,0,0,125072.58,4.09,4.09,8.17,110.33,371.86,249.27,686.52,617.05,7580.28,4.09,106.25,0,0,12.26,0
72hpf,1.07,0,185.07,0,0,1.07,0,22.47,1.07,0,0,0,9.63,0,1.07,10.7,14.98,0,3.21,0,2.14,0,0
21Day,0,0,4.02,0,1.34,0,0,0,0,2.68,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0
3Month,0,0,0.32,0,0,0,0.64,0,0,0,0,0,0,0,5.44,0,0,0,0,0.64,0.32,0,0.32
