stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,2.14,0,0,0,0,1.07,0,0,1.07,0,0,0,1.07,9.63,0
21Day,0,1.34,5.35,5.35,0,1.34,0,1.34,0,1.34,1.34,1.34,2.68,5.35,1.34,0,1.34,2.68,0,1.34,53.54,240.94,0
3Month,0,0,2.24,0,2.88,0,6.08,11.2,0,0,0,0.64,0,0,0,0.64,0,0,1.6,0,0,0,0.32
22Month,0.55,0,2.73,0,3.28,0,6.56,50.29,0,0,0.55,1.09,0.55,0,0,1.09,0,1.09,1.64,0,0,0,1.09
