stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,4.09,0,0,0,4.09,0,0,0,0,0,4.09,0,12.26,0,0,0,8.17,49.04,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,2.14,0,0,0,0,0,0,0,0,2.14,5.35,0,3.21,0,0,0,52.42,14.98,0,6.42,0,0,4.28,0,1.07,0,0,0
21Day,0,0,4.02,5.35,1.34,0,0,0,0,6.69,0,0,2.68,1.34,6.69,0,1.34,0,21.42,6.69,0,4.02,1.34,0,1.34,2.68,2.68,0,0,2.68
3Month,0,0,1.92,0,0.64,0.64,0,1.6,0.96,0,1.28,0,1.28,0.64,0.96,0.32,0.64,0.64,0,0,0.32,0.32,0.32,3.2,0,0,0,0.32,3.2,1.6
22Month,0,0,0,0,0,1.09,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09
