stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Primordial_germ_cell,Radial_glia
24hpf,0,0,4.09,0,0
21Day,0,0,0,0,1.34
3Month,0,0.32,0,0.64,0
22Month,0.55,0.55,0.55,0.55,0
