stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,1.34,0,0,0,0,1.34,0,0,0,0,0,1.34
3Month,0.64,0.64,1.28,5.44,0.96,0.32,1.28,1.28,342.99,9.6,0.32,4.16,1.28,0.32,51.19,2.88,0.32,1.6,1.28,0.64,0.64,0.32,0.32,3.84,1.28,0.32,1.28
22Month,0,1.09,0,1.64,0.55,0,0,1.09,450.99,11.48,0,3.28,0,0,44.28,2.19,0.55,34.44,0.55,0,0,0,0,0.55,0,0,0.55
