stage,Epithelial_cell,Erythroid_progenitor_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,12.26,0,0,0,0
72hpf,0,0,0,0,0,2.14,0,10.7,0,0,0,1.07,0
21Day,2.68,2.68,1.34,0,0,6.69,0,1.34,0,1.34,1.34,0,2.68
3Month,0.32,0,0.32,0.32,0.64,0,0.32,0,0,0,0,0.32,0.32
