stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,0,0,0,0,0,0,245.18,0,0,0,0,0,4.09,0,8.17,0,0,0,0,32.69,0,0,0,0,0,20.43,0,0,0
72hpf,6.42,0,8.56,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,5.35,0,0,0,0,0,0,22.47,0,0,0
21Day,0,0,41.49,1.34,1.34,21.42,0,0,0,0,1.34,0,0,4.02,0,4.02,0,0,0,2.68,0,0,0,1.34,1.34,1.34,5.35,0,0,0
3Month,1.28,0.96,36.47,0,0,134.7,0.64,0,2.24,0.64,0,0.96,0.64,0.96,2.56,3.52,0.64,0,0.96,0.32,0.32,0.32,0.32,0.32,0.32,3.84,0.32,0.64,1.28,0.32
22Month,0,0,3.83,0,0,36.08,0.55,0,0.55,0,0,1.64,0,0,0,2.19,0,0.55,0,0,0,0,0,0,0,2.19,0,0,0,0
