stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,28.6,8.17,331,0,0,0,0,0,0,12.26,0,0,0,0,0,28.6,4.09,57.21,0,0,0,0,12.26,93.99,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,9.63,1.07,109.12,11.77,3.21,0,0,0,0,0,0,0,1.07,0,4.28,140.14,0,54.56,0,0,0,0,40.65,23.54,0,0,32.09,0,0,4.28,0,0,3.21,0,0,0
21Day,9.37,0,191.41,5.35,10.71,0,1.34,0,0,0,0,0,10.71,0,2.68,92.36,1.34,152.59,1.34,0,10.71,0,25.43,20.08,0,4.02,57.56,8.03,0,5.35,2.68,2.68,0,0,0,0
3Month,0.64,0.96,71.67,0.96,0,0.64,0,3.2,0,0,12.16,2.56,0.96,0.64,7.04,43.83,2.88,38.39,2.56,0,15.36,0.64,0.32,0.96,0.64,2.24,0.64,1.6,1.28,0.64,0,0,0,4.48,0.96,1.6
22Month,0,1.09,19.68,5.47,0,2.19,0,4.37,8.75,0,42.09,1.09,4.92,1.64,3.83,24.05,3.83,13.12,0,1.09,9.84,0,0,0,0,0.55,0,0,0,2.73,0.55,0,0,1.09,0,0
