stage,Epithelial_cell,Immune_progenitor_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,8.17,0,0,4.09,4.09,0
72hpf,1.07,0,1.07,0,0,1.07
21Day,1.34,2.68,1.34,0,0,0
