stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,1.07,0,0,0,0,0,0,0,1.07,2.14,5.35,0,0,0,115.54,17.12,0,0,1.07,0,0,1.07,0,0,0,0
21Day,1.34,0,4.02,1.34,0,0,0,1.34,0,0,0,0,0,10.71,0,0,0,44.17,6.69,0,0,1.34,0,0,0,1.34,0,0,2.68
3Month,0,0,4.16,0,0.32,0,0.64,6.4,1.6,0.32,0.32,0,0.32,0.64,0.64,0.32,0.64,0,0.32,0.32,0,0,0.64,22.4,0,0,0,1.28,0
22Month,0,0.55,1.64,0,0,0.55,0,16.4,0,1.64,0,0.55,0.55,1.64,0,0,0,1.64,0,0,1.09,0,0,17.49,0,0,0.55,0,0
