stage,Epithelial_cell,Hepatocyte,Neural_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,4.28,0,0
21Day,0,0,1.34,0,0
3Month,0.32,2.56,0,0.32,14.08
22Month,0.55,3.83,0,0,0
