stage,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,3.21,1.07,0,1.07,0,0
21Day,0,0,0,0,0,0,1.34,0,0,1.34,0,0
3Month,0,0.64,0,0,0,0.32,0,0,0,0.32,0.32,0.64
22Month,0.55,5.47,0.55,0.55,0.55,0,0,0,0.55,0,0,0
