stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,8.17,0,4.09,44.95,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,4.28,0,0,0,0,0,0,1.07,0,1.07,1.07,0,2.14,0,13.91,12.84,0,8.56,0,0,3.21,0,1.07,0,0
21Day,2.68,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0,8.03,0,4.02,4.02,0,6.69,1.34,0,1.34,1.34,0,0,0
3Month,0,3.52,0.96,0.32,0,1.28,0,0,0.96,0,0.64,0,2.88,0.32,1.28,0.32,0,0,0,0,0.32,0.96,0,0,0,0.32,1.28
22Month,0,0.55,0,0,0,0,0,0.55,0,0,1.09,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0
