stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,53.49,3.21,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,12.05,1.34,0,0,0,1.34,0,0,0,0,0,0,1.34
3Month,1.28,3.84,2.88,27.2,0.96,0.32,5.44,8.96,0,60.47,10.24,1.6,17.6,3.52,9.28,10.88,10.24,1.92,0.32,4.16,6.72,2.24,0.32,3.2,1.92,0.32,13.44,878.26,1.6,0.32,0.32,6.72,2883.06,9.6
22Month,0,0,0.55,1.09,0,0,0,0,0.55,8.75,0.55,0,1.64,0,1.09,0.55,1.64,0,0.55,0,0,0.55,0,0,0,1.09,0.55,64.51,0.55,0,0,0,10.39,0.55
