stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0
21Day,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.32,0,2.24,0.32,0,0,0,0.64,0,1.92,0.96,0.32,0.32,0,0.32,0,0.64,0.32,0,0,0.32,0.32,0,0,0,3.52,0.32,0,1.28,49.27,1.28,1.6
22Month,0.55,2.73,4.37,181.49,0.55,1.09,1.64,10.39,127.92,4674.99,147.6,5.47,1.64,46.47,4.92,15.85,12.57,36.63,1.09,12.03,2.73,4.37,2.19,0.55,0.55,14.21,0.55,3.28,5.47,0.55,7.65,0,12.03
