stage,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,1.07,33.16,0,0,0,0
21Day,0,1.34,0,1.34,6.69,0,1.34,2.68,0
3Month,0.32,0,0.32,0,0,0,0.32,0,0.64
22Month,1.64,0,0,0,0.55,0,1.09,0,0
