stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,8.17,0,0,0,0,0,4.09,0,4.09,0,0,28.6,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,4.28,0,1.07,1.07,2.14,0,1.07,0,0
21Day,0,2.68,0,1.34,0,0,0,1.34,0,1.34,0,0,5.35,0,0,0,0,0
3Month,0.32,0.32,0.32,2.56,0.32,0,0.64,0.64,0,0.64,0.32,0,0,0,0,0,1.28,0.32
22Month,0,0.55,0,8.75,0,0.55,0.55,0,0.55,0.55,0,0,0,0,0.55,0,0,0
