stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,40.86,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,0,6.42,2.14,0,1.07,0,0,0,0,0,0
21Day,1.34,0,1.34,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,1.34,0,0,1.34,0,0,2.68
3Month,0.32,0.32,10.88,0,1.6,3.2,0,8.32,1.92,0.32,4.48,1.28,2.24,2.56,3.84,0.64,0.32,0.32,1.28,0.32,1.92,0,0.64,1.92,0,0.64,0.32,4.48
22Month,0,1.09,4.37,0,0.55,5.47,0.55,16.4,0,0.55,5.47,0.55,1.09,3.28,4.92,0,0,0,0,0,0.55,0,0,0.55,0,1.09,0,1.09
