stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,44.95,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,4.09,81.73,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,33.16,3.21,1.07,0,0,0,0,0,0,0,0,13.91,22.47,0,0,0,0,0,0,2.14,5.35,0,0,2.14,0,0,0,0,0,0
21Day,0,0,0,34.8,0,1.34,0,0,0,0,0,0,1.34,0,0,24.09,0,1.34,0,0,1.34,0,1.34,0,0,0,0,0,0,0,1.34,0,0
3Month,0,0.64,0,38.07,0,0,0.32,5.44,0.96,0,10.24,1.92,0,1.6,3.2,44.79,1.28,2.56,0.64,0,0,0.64,0.64,0.32,0,0,0,0.64,2.24,0,0,2.56,0.96
22Month,0,1.64,2.19,18.04,0.55,0,0,4.92,4.92,1.09,42.64,1.64,0.55,6.01,1.09,9.29,2.73,3.28,0,2.19,2.19,0,0,0,1.09,0.55,0,0,4.37,0.55,0,0,0.55
