stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,0,4.09
21Day,1.34,0,0,1.34,0,1.34,1.34,0
22Month,0,0.55,1.09,0,1.09,0,0,0
