stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,1.07,7.49,0,1.07,0,0,0,1.07,1.07,0,0,1.07,0,1.07,0,0,0
21Day,1.34,1.34,0,8.03,1.34,0,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,1.34,1.34,1.34,1.34,1.34,0,1.34
3Month,0.32,0,0,1.6,0,0.32,0,0,0,2.24,0,0,0,0.32,0.32,0,0,0,0,0.32,0,0,0,0,0,0.32,0.64
22Month,0,2.73,0.55,2.73,0,0,1.09,2.19,0,8.75,0,0,1.64,0.55,0,0.55,1.09,0,0,0,0,0,0,0,0,0,0.55
