stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell
72hpf,1.07,0,0,0,0,0,4.28,0,1.07,0
3Month,0.64,0.32,1.28,0.32,0,0.32,0,0.32,0,0.32
22Month,1.09,0,2.19,0,0.55,0,0,0.55,0.55,0
