stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,2.14,3.21,1.07,3.21,0,0,0,0,0,5.35,1.07,3.21,0,0,1111.51,38.51,0,12.84,0,0,6.42,62.05,49.21,2.14,0,0
21Day,1.34,0,12.05,1.34,2.68,1.34,0,1.34,0,0,1.34,1.34,8.03,0,4.02,227.55,30.79,0,1.34,1.34,1.34,1.34,32.12,151.25,1.34,0,0
3Month,0,0.32,0.96,0,0,0.32,0.64,1.6,0.32,0,0.64,0,0,0.32,0,4.16,0,0.32,0,0,5.44,0,0,0,0,25.28,0.32
22Month,0,0,0.55,0,0,0,0,7.65,0,0.55,0,0.55,0,0,0,0.55,0,0,0,0,3.83,0,0,0,0,0.55,0
