stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,2.68,0,0,0,1.34,0,0,0,0,0
3Month,2.24,6.72,0.32,2.24,0,1.6,3.2,4.16,1.6,0,2.24,1.28,1.28,55.35,0.64,12.8,0.64,0.32,0,3.52,0.32,0,0.32,0,15.36,9.6,9.28,1.28
22Month,2.19,0.55,0.55,33.35,1.64,0,15.85,21.32,1.09,0.55,2.19,0,1.09,219.21,8.75,0,0,3.83,0,2.19,0,0.55,0,0.55,2.73,0,0,0.55
