stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,65.38,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,3.21,1.07,3.21,0,0,0,0,0,0,0,0,9.63,0,12.84,0,1.07,0,0,166.89,63.12,0,0,0,6.42,0,0,6.42,2.14,0,5.35,0,0
21Day,4.02,1.34,0,5.35,0,4.02,0,0,0,0,0,1.34,0,0,4.02,1.34,9.37,0,0,1.34,0,64.25,21.42,1.34,0,0,4.02,0,1.34,4.02,0,4.02,1.34,0,4.02
3Month,0,1.92,0,5.76,0.32,0,0.64,0.96,0.32,7.36,1.92,0.96,3.52,0.32,7.68,1.28,1.92,1.28,0,0.96,0.32,2.88,0.32,0.96,0.32,0,0.64,0.96,12.16,0.96,0,0,0,1.6,2.24
22Month,0,3.83,0.55,3.28,0.55,0,1.09,1.64,17.49,30.07,1.64,1.64,2.73,1.09,0,2.19,1.64,0,0.55,0,0,0.55,0,0,1.64,1.09,0,0,3.83,0,0,0,0,0,1.09
