stage,Cardiomyocyte,Epithelial_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,Retinal_cone_cell
24hpf,0,0,8.17,0,4.09,12.26,0,0,0,0
72hpf,2.14,0,5.35,0,27.81,6.42,0,3.21,4.28,0
21Day,1.34,4.02,10.71,1.34,21.42,9.37,1.34,4.02,0,1.34
