stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,8.17,0,0,0,12.26,65.38,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,5.35,1.07,7.49,0,0,0,0,0,0,0,1.07,0,1.07,11.77,0,6.42,1.07,0,0,54.56,18.19,0,0,2.14,0,0,1.07,0,0,0,0,0,0
21Day,5.35,29.45,1.34,30.79,0,10.71,0,0,0,0,0,5.35,1.34,5.35,4.02,8.03,6.69,0,0,0,24.09,9.37,0,0,2.68,0,0,4.02,2.68,1.34,2.68,0,0,4.02
3Month,0,3.2,0,0,0,0,0.32,0.64,0,1.92,0,0,2.24,0,0.96,1.28,0,0,0.96,0.96,0,0,0,0,0,0.32,1.92,0,0,0,0,0.64,0.32,0.32
22Month,0,1.64,0,0,1.09,0,0,4.92,2.73,10.39,0.55,0.55,5.47,0,0,0.55,1.09,0.55,0,0,0,0,0.55,0.55,0,0.55,0,0,0,0,0,0,0,0
