stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,2.14,0,53.49,8.56,0,1.07,11.77,1.07,0
21Day,1.34,0,0,0,0,1.34,0,0,0,29.45,6.69,2.68,1.34,6.69,0,0
3Month,0,0,0.64,0.64,0.32,0.32,0,0,0,0,0,0,0,0.32,0,0.32
22Month,1.09,0.55,2.19,0.55,0,0,0,0,0.55,0.55,0,0,0,0.55,0,0
