stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,5.35,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,5.35,52.2,2.68,0,0,0,0,29.45,0,1.34,28.11,1.34,42.83,1.34,9.37,0,1.34,0,0,10.71,1.34,0,0,6.69,0,0,1.34,0,1.34,4.02,0,2.68
3Month,0,0.64,10.88,23.68,0,1.6,0.32,4.16,2.56,362.5,1.6,0.96,133.74,0.96,4.8,1.28,5.44,0.96,0.64,0.64,0.64,0.32,0,0.32,0.96,0,3.2,2.24,0.32,0.32,0,0,0.96,2.56
22Month,0.55,1.64,9.84,2.73,0,0.55,0,3.83,1.64,219.76,1.09,0,135.57,0,0,1.09,3.83,0,4.37,0,0.55,0.55,0,0,0.55,0,1.09,1.64,0,0.55,0,0,0,0.55
