stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Mt_rich_cell,Pancreatic_cell,T_cell
21Day,0,0,2.68,0,0,0
22Month,0.55,4.92,0,0.55,0.55,4.37
