stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,93.99,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,1.07,2.14,0,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,54.56,38.51,0,0,2.14,0,0,0,0,0
21Day,2.68,1.34,0,5.35,0,0,2.68,0,0,0,0,0,0,1.34,0,0,0,4.02,0,10.71,13.39,0,0,2.68,0,0,0,0,1.34
3Month,0,0.96,0.32,8,0.32,0.32,0,4.8,1.28,0,12.8,0.96,0.32,13.12,0.32,1.28,1.28,3.2,0.96,0,0.64,1.28,0.96,0,0.96,0.64,0.32,0.32,1.6
22Month,1.09,2.73,1.09,2.73,0,0,0.55,1.64,2.19,0.55,46.47,0,2.73,13.67,0.55,0,2.19,2.19,0,0,0.55,1.64,0.55,0,0,1.09,0,0,3.83
