stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,20.43,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,6.42,0,0,1.07,1.07,0,0,0,0,0,0,0,2.14,0,2.14,0,0,0,0,9.63,3.21,0,0,0,0,0,1.07,0,0
21Day,6.69,0,0,1.34,0,0,0,2.68,0,0,0,0,1.34,0,10.71,0,0,2.68,0,9.37,1.34,0,0,4.02,1.34,0,1.34,0,0
3Month,0,0.32,0.32,4.48,0.96,0.96,0.96,19.52,0.96,0,3.2,0.96,0.96,0.96,3.2,0.32,0.32,0,0.64,0.32,0,0.64,0.32,0.32,1.28,1.28,0,0.32,0.64
22Month,0,0.55,1.09,3.83,0,0.55,4.92,46.47,1.09,0.55,6.01,0,2.19,4.37,3.83,0,0.55,0,0,0.55,0,2.19,0,0.55,0.55,1.64,0,0,1.64
