stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,65.38,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,8.17,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,404.38,1.07,0,0,0,0,0,0,0,0,0,0,10.7,0,4.28,0,0,0,0,17.12,7.49,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,8.03,0,2.68,194.09,1.34,0,0,0,0,0,1.34,1.34,16.06,13.39,2.68,6.69,0,29.45,0,1.34,9.37,0,17.4,202.12,0,0,0,12.05,12.05,2.68,5.35,1.34,4.02,0,0,5.35
3Month,0,1.92,0.64,634.46,0,0.32,0.32,0.64,0.96,20.8,19.2,7.68,4.48,9.6,0,5.76,3.2,17.6,2.56,0,0.96,6.72,0,0.64,3.52,0.64,0,0,68.47,31.04,0.64,0,1.28,2.24,5.76,10.88
22Month,0.55,0.55,0,50.84,0,0.55,1.09,1.09,1.09,9.29,115.34,2.19,0,2.19,0.55,1.09,5.47,32.25,3.28,0.55,19.68,1.09,0,1.09,1.09,0,1.09,0.55,0,33.35,1.64,1.09,0,0,0,1.64
