stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,3.21,0,1.07,0,0,2.14,0,0,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,1.34,0,1.34,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0
3Month,0.32,0.32,4.16,0,0,2.24,2.24,0,4.8,1.28,0,3.2,0,0.64,3.2,0,0,1.28,0,0,0,0.64,1.28,0.32,6.4
22Month,2.19,1.64,10.39,0.55,1.09,3.28,13.67,0.55,18.04,2.73,6.01,10.39,1.64,0.55,13.12,6.56,0.55,0.55,0,1.09,0,0,0.55,0,18.04
