stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
3Month,0.32,0.32,8.96,0.32,2.88,0.32,0,0.96,0.32,1.28,13.76,0.32,2.56,1.92,0.64,0.32,0,0,0.64,0.32,0.96,2.56,0.32,0.32,1.6
22Month,0,1.64,1.64,0,1.09,0.55,0.55,4.92,0,1.09,9.84,0,0,2.19,1.64,1.09,0,0.55,0,0,0,1.64,0,0,1.64
