stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,3.21,0,0,0,0,0,0,0,0,4.28,1.07,0,0,0,0,0,0
21Day,0,8.03,0,0,0,0,0,1.34,0,0,24.09,0,1.34,1.34,0,0,0,0
3Month,0.32,8.64,0,0,0.32,0,1.28,0,0.32,0.64,0,0.32,0,0,0.32,0.64,0.32,0.32
22Month,4.37,23.51,0.55,1.09,1.64,0.55,13.67,0,1.09,0,0,0.55,0,0,0,7.65,0,0
