stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,1.07,0,0,0,0,0,0,0,29.95,0,0,1.07,0,2.14,0,0,0,0,0,0,0
21Day,1.34,87,0,5.35,0,0,0,0,4.02,84.33,0,1.34,0,0,0,5.35,0,0,1.34,0,0,1.34
3Month,0,36.47,0.32,0,0.32,2.88,0.32,0,1.6,1.92,1.6,0.64,0.32,0.32,0,0,0.32,0,0,0.96,0.32,0
22Month,0,5.47,0,0,0,6.01,0,0.55,0.55,1.09,0.55,0,0,0,0,0,0,0.55,0,0,0,0
