stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,0,2.14,0,0,6.42,2.14,0,0,0,0
21Day,1.34,1.34,2.68,0,0,0,0,0,0,2.68,0,0,4.02,1.34,0,0,1.34,0
3Month,0,0.96,0,0.32,0,0.64,0,0,0.32,0.96,1.28,0,0.32,0,0.32,0.32,0,0.64
22Month,0,1.09,0,0,0.55,8.75,1.09,0.55,0.55,3.28,0,0.55,0,0,0,0,0,0
