stage,Endothelial_cell,Ionocyte,Keratinocyte,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,4.09,0,0,0,0
72hpf,0,2.14,2.14,1.07,2.14,0,0,0
21Day,1.34,0,0,0,0,0,1.34,0
3Month,0,0,0,0,0,1.92,0,1.28
