stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,24.52,4.09,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,11.77,0,0,0,0,0,0,0,0,1.07,7.49,0,12.84,0,0,1.07,1.07,1.07,1.07,4.28,0,0,0,0,0,0
21Day,0,4.02,1.34,0,0,0,0,0,2.68,0,0,2.68,5.35,2.68,0,0,13.39,1.34,0,0,0,0,0,0,0,0,1.34
3Month,0.96,7.68,0,0,0.64,2.24,7.36,0.96,0,1.6,0.32,4.8,8.96,4.16,0.32,0.32,0.64,0,0.32,0,0,0.32,0.96,0,15.68,1.28,1.28
22Month,1.09,7.11,0,0.55,0,0,27.88,0,1.09,1.64,0,1.09,8.75,1.64,0,2.19,0.55,0,0,0,0,0,1.09,0.55,0.55,0,0
