stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,8.17,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0,0
72hpf,3.21,0,0,0,0,3.21,0,8.56,0,0,8.56,4.28,6.42,0,0,1.07,0
21Day,0,0,0,0,0,0,0,1.34,0,1.34,1.34,0,1.34,0,0,0,0
3Month,0.32,0,1.92,0.32,0,0,0,0,0.32,0,0,0,0,0.32,1.92,0,2.56
22Month,0,1.09,4.92,0,2.19,0,0.55,1.09,0,0,0,0,0,0,2.19,0,0
