stage,Epithelial_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,4.09,16.35,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,2.14,24.61,4.28,0,0,0,0,0,0,0
21Day,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,2.24,0.32,0.32,0.96,4.48,0.96,2.24,0.64,1.28,0.64,1.28,9.28,0,0.64,0.64,116.46,0.96,0.32,110.06,1.6
22Month,0,0,0,0,4.37,0,0.55,0,0,0,1.09,0.55,0,1.64,0,69.43,1.64,0.55,0,0
