stage,Epithelial_cell,Erythrocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell
72hpf,0,1.07,0,0,2.14,0,0,0,0
21Day,0,1.34,0,6.69,0,0,2.68,0,0
3Month,0,0,0.64,1.6,0,0.32,0,0.32,0.32
22Month,0.55,0,0,0,0,0,0,0,0
