stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,4.09,12.26,4.09,110.33,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,0,0,0,1.07,3.21,2.14,16.05,29.95,22.47,4.28,3.21,0,0
21Day,1.34,0,5.35,2.68,0,1.34,1.34,0,0,2.68,5.35,0,1.34,4.02,46.85,20.08,9.37,14.72,9.37,1.34,0
3Month,0,0,0.64,0,0,0,0,0,0,0.64,0.64,0,0,0.32,0.96,0,0,0,0,0,0.32
22Month,0,0.55,0.55,0,0.55,0,2.19,1.09,3.83,1.64,1.64,0,0.55,1.09,0.55,0,0.55,0,0,0,2.19
