stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,1.07,3.21,1.07,0,0,0,0,0,0,0,0,1.07,0,3.21,0,13.91,6.42,0,0,0,1.07,0,5.35,0,0,0,0,0
21Day,0,0,9.37,0,0,0,0,0,0,0,0,1.34,0,2.68,1.34,9.37,1.34,0,0,0,4.02,0,0,0,0,0,0,0
3Month,0,0.32,2.24,0.32,0,0,0.32,0.64,0.32,0.32,0.64,0,0.32,1.28,0,0.32,0,0.64,0.32,0,0,0.32,0,0,0.32,0.96,0.32,1.28
22Month,0,0,1.64,0,0.55,0.55,0,9.84,0.55,0.55,1.09,0.55,0,2.19,0.55,0,0,0,0,0.55,0,0,0.55,0.55,0,0,0,0.55
