stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,16.35,0,0,0,8.17,36.78,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,2.14,0,0,1.07,0,0,0,0,0,0,0,0,1.07,4.28,1.07,29.95,0,0,0,13.91,13.91,0,0,17.12,0,0,1.07,0,1.07,0,0,0
21Day,2.68,0,0,10.71,1.34,2.68,0,2.68,0,0,1.34,0,0,0,2.68,1.34,1.34,5.35,0,46.85,0,0,1.34,6.69,6.69,0,0,1.34,1.34,0,1.34,1.34,0,0,0,1.34
3Month,0,0.32,0,3.84,0,0,0.32,0,0.64,1.28,1.92,0,13.12,0.64,0.64,0.96,0,0.32,1.28,15.36,1.6,0,0.96,0.32,0,0,0,0,1.6,36.47,0.64,0,0,1.6,8.96,0.64
22Month,0.55,0.55,0.55,5.47,0,0,0.55,0.55,0,0,4.37,1.09,49.75,2.19,0,1.64,0.55,0.55,3.28,8.75,2.19,8.2,1.09,1.09,0,0.55,0.55,0,0,6.01,0.55,0,0,0,0.55,0.55
