stage,Epithelial_cell,Hepatocyte,Macrophage,Mesenchymal_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,4.09,0,0,0
3Month,0.64,0.96,0.32,0.32,1.28,0.96,0.32
22Month,0,0,0,0,1.64,0,0
