stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,2.14,0,1.07,0,0,0,0
21Day,10.71,0,1.34,0,8.03,0,1.34,1.34,0,1.34,1.34
3Month,0,0.64,0,0.96,0,0.32,0,0,0.32,0,0.32
22Month,0,0.55,0,0,0,0,0,0,0,0,0.55
