stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,16.35,93.99,0,0,4.09,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,0,2.14,4.28,0,0,0,1.07,3.21,0,2.14,0,0,309.17,34.23,1.07,1.07,2.14,0,0,6.42,2.14,3.21,0,0
21Day,0,0,0,1.34,0,1.34,0,0,0,1.34,1.34,0,2.68,0,1.34,100.39,2.68,0,1.34,0,1.34,0,2.68,6.69,9.37,1.34,0
3Month,0,0,0,1.28,0,0,0.32,0,0.32,0,0.32,0,0.96,0,0,1.6,0.32,0.96,0.32,0,0,2.88,0.32,0,0,0,0.32
22Month,0,0,0.55,0,0,0,0,3.83,0,0,0,0.55,0.55,0.55,0,0.55,0,1.09,1.09,0,0,1.64,1.64,1.64,0,0,0
