stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,5.35,2.14,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,1.34,0,33.46,0,1.34,0,0,1.34,1.34,1.34,0,0
3Month,0.64,0.32,3.2,0.64,0.32,0.64,0.96,17.6,0.32,0.96,0,0,0.32,2.24,0,0,0,0.64
22Month,0,0,4.37,0,0,0,0,3.83,0,0,0,1.09,0,3.83,0.55,0,0.55,0
