stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,4.09,4.09,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0
21Day,0,0,1.34,0,0,0,0,1.34,0,0,0,0,0
3Month,0.32,0.64,0,0.64,0,0,0.32,0,0,0.96,0,2.88,0.32
