stage,Cardiomyocyte,Epithelial_cell,Immune_progenitor_cell,Mesenchymal_cell,Osteoblast
72hpf,4.28,1.07,0,1.07,0
21Day,2.68,0,1.34,1.34,0
3Month,0,0.64,0,0,0.32
