stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0
72hpf,3.21,1.07,0,0,1.07,1.07,6.42,1.07,8.56,5.35,0,1.07,1.07
21Day,0,1.34,1.34,0,0,0,2.68,0,13.39,0,0,0,1.34
22Month,0,0,0,1.09,0,0,0,0,0,0,0,0,0
