stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Osteoblast,Pancreatic_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,13.91,0,0,0
21Day,1.34,2.68,0,1.34,1.34,6.69,1.34,2.68,1.34
22Month,0,0,2.73,0,0,0,0,0,0
