stage,Epithelial_cell__Brain_,Keratinocyte,Macrophage,Neural_cell,Oligodendrocyte,T_cell
72hpf,2.14,1.07,0,9.63,0,0
21Day,0,0,0,1.34,1.34,0
3Month,0,0,0.32,0,0,0.64
